,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
F1M2K3,9083.641675,9835.032674,9520.081262,12694.34612,10975.41232,11394.30418,13099.32356,9655.24124,15443.96233,12439.11511,29640.70627,25875.07271,17913.87396,30418.55876,28345.67129
F1M3H8,43208.44249,36834.57165,55110.77657,51013.27547,27057.77587,51853.99429,43573.95705,19025.14138,58012.02904,58642.48792,58032.15649,44726.67431,48345.18725,78678.55844,58668.26432
F1M3U4,6579.525759,15632.63376,29748.17814,41292.78744,63948.14981,8945.053443,21171.42007,6827.48379,26636.89384,15232.62277,2896.833475,2398.620311,2966.047421,9494.642821,1.2654
K3W4U8,156139.3071,4119.618493,4399.783827,4259.760562,1980.420188,5038.827469,4382.886013,3618.521405,8464.688443,9030.268255,15911.58785,4254.739718,5894.618827,3028.114075,189079.3817
F1M614,3167.848456,1225.383887,10603.48093,3154.067017,2286.068064,8265.076143,4524.404603,4846.298312,5370.935526,6650.878805,17354.03491,24291.25312,17436.44742,17002.78677,35433.05554
F1M642,25874.97246,38297.38436,46005.66217,10042.42727,53807.87097,31904.38483,21719.1374,19142.6083,46542.5359,40371.54511,10258.69051,55875.3975,17716.95655,2558.063571,1422.966153
F1M6D0,8732.562375,3207.572171,6412.268195,9863.654555,16561.46645,5422.329664,4740.648192,12903.80934,8962.09165,5913.277429,14662.08961,4439.868455,7439.102087,15385.43043,2268.550545
F1M6Q3,129150.086,119285.1572,139928.4094,146793.9084,118374.6788,133222.2511,132958.633,122030.5836,180668.8095,146583.0619,204672.8356,170657.1693,135345.6544,172425.947,177443.6085
F1M6V0,3235.120816,2482.228191,2766.647304,3091.135962,3270.481675,3768.065247,4956.193419,5483.140077,5415.579509,4350.315845,7087.787906,2417.118541,2991.068838,8057.816065,8035.255214
F1M779,371951.3913,335316.8549,333081.7091,430782.8917,330383.2068,431096.445,375570.4766,304473.3722,521600.6654,558787.5473,241366.5264,318115.8964,339034.5528,323215.2903,342315.9431
Q496Z5,1048.688851,2734.084297,6287.01063,1685.878601,535.1722305,3976.513892,1644.349212,2056.796374,3512.808335,1912.580117,6267.821663,1450.036844,6591.96451,11755.30413,20898.0033
F1M7S2,6.855039958,11.20552572,1.2121,11.39057827,15.33000857,1444.649867,1071.889812,1309.058624,1128.670422,2108.893164,309.131219,902.655133,1216.063168,1246.39501,1051.928121
F1M7S4,41162.97742,44575.55053,45629.6341,52398.94944,37901.87444,66411.25472,55978.90673,38401.33334,55861.37167,33316.3172,81439.77115,100276.0344,96186.5801,142315.2315,166526.8565
F1M865,12388.92483,14144.70838,17517.54551,12109.81129,16116.97763,15812.69922,15358.53288,13455.58885,25890.78901,16172.17296,36903.97619,26271.39365,29523.02474,34200.24907,36113.41968
F1M835,45602.31093,60886.79697,52832.90193,64584.42386,77233.36557,50434.07845,44101.22229,53085.14915,74182.39033,82885.52929,63167.66127,36933.98917,55698.45354,70211.18276,44715.3873
F1M853,7616.7082,10990.78599,6126.895444,10605.45004,6942.047193,9805.330909,11079.55353,5495.741891,12412.65662,9226.779797,13631.17861,6809.203965,11143.50563,21456.74762,23256.08358
F1M8K0,25626.1129,35846.61659,33633.76398,39158.64184,33360.83606,26359.21787,21478.70047,14579.40078,41561.02904,47154.83277,5444.924622,14780.5264,6673.31216,4201.421548,1010.186131
